Year,Make,Model,Security,Hardware Part Number,Is this hardware clonable?
1990,Buick,Reatta,PK1,Information not available,No
1990,Buick,Riviera,PK1,Information not available,No
1991,Buick,Park Avenue,PK1,Information not available,No
1991,Buick,Reatta,PK1,Information not available,No
1991,Buick,Riviera,PK1,Information not available,No
1992,Buick,Reatta,PK1,Information not available,No
1992,Buick,Riviera,PK1,Information not available,No
1992,Buick,LeSabre,PK2,Information not available,No
1992,Buick,Park Avenue,PK2,Information not available,No
1993,Buick,Riviera,PK1,Information not available,No
1993,Buick,LeSabre,PK2,Information not available,No
1993,Buick,Park Avenue,PK2,Information not available,No
1994,Buick,LeSabre,PK2,Information not available,No
1994,Buick,Park Avenue,PK2,Information not available,No
1994,Buick,Regal,PK2,Information not available,No
1994,Buick,Roadmaster,PK2,U40-051,No
1995,Buick,LeSabre,PK2,Information not available,No
1995,Buick,Park Avenue,PK2,Information not available,No
1995,Buick,Regal,PK2,U30C,No
1995,Buick,Riviera,PK2,Information not available,No
1995,Buick,Roadmaster,PK2,U40-051,No
1996,Buick,LeSabre,PK2,U42C-800,No
1996,Buick,Park Avenue,PK2,U42C-800,No
1996,Buick,Regal,PK2,U42C-800,No
1996,Buick,Riviera,PK2,U42C-800,No
1996,Buick,Roadmaster,PK2,U40-399,No
1996,Buick,Skylark,PL1,U42C-800,No
2002,Buick,Rendezvous,PK3,U44C-482,No
2003,Buick,Rendezvous,PK3,U44C-482,No
2004,Buick,Rendezvous,PK3,U44C-721,No
2004,Buick,Rainier,PL2,U44G-G45,No
2005,Buick,LaCrosse,PK3,U32-C55,No
2005,Buick,Rendezvous,PK3,E55-507,No
2005,Buick,Terraza,PK3,U32-XC2,No
2005,Buick,Rainier,PL2,P10,No
2006,Buick,LaCrosse,PK3,E55-507,No
2006,Buick,Rendezvous,PK3,E55-507,No
2006,Buick,Terraza,PK3,U32-XC2,No
2006,Buick,Lucerne,PK3,Information not available,No
2006,Buick,Rainier,PL2,P10,No
2007,Buick,LaCrosse,PK3,E55-507,No
2007,Buick,Rendezvous,PK3,U32-XC2,No
2007,Buick,Terraza,PK3,Information not available,No
2007,Buick,Lucerne,PK3,E67-TP1,No
2008,Buick,LaCrosse,PK3,E67-TP1,No
2008,Buick,Enclave,PK3,E67-TP1,No
2008,Buick,Lucerne,PK3,U32-P05,No
2009,Buick,LaCrosse,PK3,U32-P05,No
2009,Buick,Enclave,PK3,E69-216,Yes
2009,Buick,Lucerne,PK3,E37,Yes
2010,Buick,Enclave,PK3,Information not available,No
2010,Buick,Lucerne,PK3,E37,Yes
2010,Buick,LaCrosse,PK3,E39-F93S,Yes
2011,Buick,Enclave,PK3,E69-216,Yes
2011,Buick,Lucerne,PK3,E37,Yes
2011,Buick,LaCrosse,PK3,E39-F93S,Yes
2011,Buick,Regal,PK3,E39-F93S,Yes
2012,Buick,Enclave,PK3,E69-216,Yes
2012,Buick,LaCrosse,PK3,E69-216,Yes
2012,Buick,Regal,PK3,E39-F93S,Yes
2012,Buick,Verano,PK3,Information not available,No
2013,Buick,Enclave,PK3,E39A-H98S,Yes
2013,Buick,Encore,PK3,E78-AB8,Yes
2013,Buick,LaCrosse,PK3,E39A-H98S,Yes
2013,Buick,Regal,PK3,E39A-H98S,Yes
2013,Buick,Verano,PK3,E39-X94S,Yes
