Year,Make,Model,Security,Hardware Part Number,Is this hardware clonable?
1998,GMC,Jimmy,PL2,U41,No
1998,GMC,Safari,PL2,Information not available,No
1998,GMC,Savana,PL2,U34-588,No
1998,GMC,Sierra,PL2,U34-588,No
1998,GMC,Sonoma,PL2,U44B,No
1998,GMC,Suburban,PL2,Information not available,No
1998,GMC,Yukon Denali,PL2,Information not available,No
1999,GMC,Jimmy,PL2,U41,No
1999,GMC,Safari,PL2,Information not available,No
1999,GMC,Savana,PL2,U41,No
1999,GMC,Sierra,PL2,U41,No
1999,GMC,Sonoma,PL2,U44B,No
1999,GMC,Suburban,PL2,U41,No
1999,GMC,Yukon Denali,PL2,Information not available,No
2000,GMC,Jimmy,PL2,Information not available,No
2000,GMC,Safari,PL2,Information not available,No
2000,GMC,Savana,PL2,U34-588,No
2000,GMC,Sierra,PL2,U41,No
2000,GMC,Sonoma,PL2,U44B,No
2000,GMC,Yukon XL,PL2,U44R,No
2000,GMC,Yukon Denali,PL2,Information not available,No
2001,GMC,Jimmy,PL2,U44R,No
2001,GMC,Safari,PL2,U44R,No
2001,GMC,Savana,PL2,U44R,No
2001,GMC,Sierra,PL2,U44R,No
2001,GMC,Sonoma,PL2,U44R,No
2001,GMC,Yukon XL,PL2,U44R,No
2001,GMC,Yukon Denali,PL2,U44R,No
2002,GMC,Envoy,PL2,P10,No
2002,GMC,Jimmy,PL2,Information not available,No
2002,GMC,Safari,PL2,Information not available,No
2002,GMC,Savana,PL2,U44R,No
2002,GMC,Sierra,PL2,U44R,No
2002,GMC,Sonoma,PL2,U44B,No
2002,GMC,Yukon XL,PL2,U44R,No
2002,GMC,Yukon Denali,PL2,U44R,No
2003,GMC,Envoy,PL2,U44G-G03,No
2003,GMC,Jimmy,PL2,Information not available,No
2003,GMC,Safari,PL2,U44G-G03,No
2003,GMC,Savana,PL2,U44G-G03,No
2003,GMC,Sierra,PL2,U44G-G03,No
2003,GMC,Sonoma,PL2,U44G-G03,No
2003,GMC,Yukon XL,PL2,U44G-G03,No
2003,GMC,Yukon Denali,PL2,U44G-G03,No
2004,GMC,Envoy,PL2,U44G-G45,No
2004,GMC,Envoy XUV,PL2,Information not available,No
2004,GMC,Jimmy,PL2,U44G-G45,No
2004,GMC,Safari,PL2,U44G-G45,No
2004,GMC,Savana,PL2,U44G-G45,No
2004,GMC,Sierra,PL2,U44G-G45,No
2004,GMC,Sonoma,PL2,Information not available,No
2004,GMC,Yukon XL,PL2,U44G-G45,No
2004,GMC,Yukon Denali,PL2,U44G-G45,No
2004,GMC,Canyon,PL3,Information not available,No
2005,GMC,Envoy,PL2,E40-883,No
2005,GMC,Envoy XUV,PL2,Information not available,No
2005,GMC,Jimmy,PL2,U44G-G45,No
2005,GMC,Safari,PL2,U44G-G45,No
2005,GMC,Savana,PL2,U44G-G45,No
2005,GMC,Sierra,PL2,U44G-G45,No
2005,GMC,Sonoma,PL2,Information not available,No
2005,GMC,Yukon XL,PL2,U44G-G45,No
2005,GMC,Yukon Denali,PL2,U44G-G45,No
2005,GMC,Canyon,PL3,P12-N64,No
2006,GMC,Envoy,PL2,E40-679,No
2006,GMC,Envoy XUV,PL2,Information not available,No
2006,GMC,Savana,PL2,U44G-G45,No
2006,GMC,Sierra,PL2,U44G-G45,No
2006,GMC,Sonoma,PL2,Information not available,No
2006,GMC,Yukon XL,PL2,U44G-G45,No
2006,GMC,Yukon/Denali,PL2,U44G-G45,No
2006,GMC,Canyon,PL3,P12-N64,No
2007,GMC,Acadia,PK3,E67-TP1,No
2007,GMC,Yukon XL,PK3,E38-Y2Y,Yes
2007,GMC,Yukon Denali,PK3,E38-Y2Y,Yes
2007,GMC,Envoy,PL2,E67-TP1,No
2007,GMC,Savana,PL2,U44G-G45,No
2007,GMC,Sierra,PL2,U44G-G45,No
2007,GMC,Canyon,PL3,P12-N77,No
2008,GMC,Acadia,PK3,E67-TP1,No
2008,GMC,Savana,PK3,E35-LMM,Yes
2008,GMC,Sierra,PK3,E35-LMM,Yes
2008,GMC,Yukon XL,PK3,Information not available,No
2008,GMC,Yukon Denali,PK3,E38-Y2Y,Yes
2008,GMC,Envoy,PL2,E67-TP1,No
2008,GMC,Canyon,PL3,E67-TP1,No
2009,GMC,Acadia,PK3,E69-216,Yes
2009,GMC,Savana,PK3,Information not available,No
2009,GMC,Sierra,PK3,E35-LMM,Yes
2009,GMC,Terrain,PK3,Information not available,No
2009,GMC,Yukon XL,PK3,Information not available,No
2009,GMC,Yukon Denali,PK3,E38-Y2Y,Yes
2009,GMC,Envoy,PL2,Information not available,No
2009,GMC,Canyon,PL3,Information not available,No
2010,GMC,Acadia,PK3,Information not available,No
