Year,Make,Model,Security,Hardware Part Number,Is this hardware clonable?
2003,Hummer,H2,PL2,U44G-G03,No
2004,Hummer,H2,PL2,U36-E22,No
2005,Hummer,H2,PL2,U44G-G45,No
2005,Hummer,H2 SUT,PL2,Information not available,No
2006,Hummer,H2,PL2,U44G-G45,No
2006,Hummer,H2 SUT,PL2,Information not available,No
2006,Hummer,H3,PL3,P12-N64,No
2007,Hummer,H2,PL2,U44G-G45,No
2007,Hummer,H2 SUT,PL2,Information not available,No
2007,Hummer,H3,PL3,P12-N77,No
2008,Hummer,H2,PK3,Information not available,No
2008,Hummer,H2 SUT,PK3,Information not available,No
2008,Hummer,H3,PL3,E67-TP1,No
2009,Hummer,H2,PK3,Information not available,No
2009,Hummer,H2 SUT,PK3,Information not available,No
2009,Hummer,H3,PL3,Information not available,No
2010,Hummer,H2,PK3,Information not available,No
2010,Hummer,H2 SUT,PK3,Information not available,No
2010,Hummer,H3,PL3,Information not available,No
