Year,Make,Model,Anti-Theft Module Location,PATS Type,ParameterReset
1996,Mercury,Sable (Duratec only),Stand Alone PATS Module,PATS Type A ,Parameter Reset Not Required
1997,Mercury,Sable (Duratec only),Stand Alone PATS Module,PATS Type A ,Parameter Reset Not Required
1998,Mercury,Grand Marquis,Stand Alone PATS Module,PATS Type B ,Parameter Reset Required
1998,Mercury,Mountaineer (4dr),Stand Alone PATS Module,PATS Type B ,Parameter Reset Required
1998,Mercury,Sable (Duratec only),Stand Alone PATS Module,PATS Type B ,Parameter Reset Required
1999,Mercury,Cougar,Powertrain Control Module,PATS Type E ,Parameter Reset Not Required
1999,Mercury,Grand Marquis,Stand Alone PATS Module,PATS Type B ,Parameter Reset Required
1999,Mercury,Mountaineer (4dr),Stand Alone PATS Module,PATS Type B ,Parameter Reset Required
1999,Mercury,Mystique (V-6 only),Powertrain Control Module,PATS Type E ,Parameter Reset Not Required
1999,Mercury,Sable (Duratec only),Stand Alone PATS Module,PATS Type B ,Parameter Reset Required
2000,Mercury,Cougar,Powertrain Control Module,PATS Type E ,Parameter Reset Not Required
2000,Mercury,Grand Marquis,Stand Alone PATS Module,PATS Type B ,Parameter Reset Required
2000,Mercury,Mountaineer (4dr),Stand Alone PATS Module,PATS Type B ,Parameter Reset Required
2000,Mercury,Mystique (V-6 only),Powertrain Control Module,PATS Type E ,Parameter Reset Not Required
2000,Mercury,Sable,Powertrain Control Module,PATS Type E ,Parameter Reset Not Required
2001,Mercury,Cougar,Powertrain Control Module,PATS Type E ,Parameter Reset Not Required
2001,Mercury,Grand Marquis,Stand Alone PATS Module,PATS Type B ,Parameter Reset Required
2001,Mercury,Mountaineer (4dr),Stand Alone PATS Module,PATS Type B ,Parameter Reset Required
2001,Mercury,Sable,Powertrain Control Module,PATS Type E ,Parameter Reset Not Required
2002,Mercury,Cougar,Powertrain Control Module,PATS Type E ,Parameter Reset Not Required
2002,Mercury,Grand Marquis,Stand Alone PATS Module,PATS Type B ,Parameter Reset Required
