Year,Make,Model,Security,Hardware Part Number,Is this hardware clonable?
1990,Oldsmobile,Toronado,PK1,Information not available,No
1991,Oldsmobile,Ninety-Eight,PK1,Information not available,No
1991,Oldsmobile,Toronado,PK1,Information not available,No
1992,Oldsmobile,Toronado,PK1,Information not available,No
1992,Oldsmobile,Eighty-Eight,PK2,Information not available,No
1992,Oldsmobile,Ninety-Eight,PK2,Information not available,No
1993,Oldsmobile,Toronado,PK1,Information not available,No
1993,Oldsmobile,Eighty-Eight,PK2,Information not available,No
1993,Oldsmobile,Ninety-Eight,PK2,Information not available,No
1994,Oldsmobile,Cutlass Supreme,PK2,U30C,No
1994,Oldsmobile,Eighty-Eight,PK2,Information not available,No
1994,Oldsmobile,Ninety-Eight,PK2,Information not available,No
1995,Oldsmobile,Cutlass Supreme,PK2,U30C,No
1995,Oldsmobile,Aurora,PK2,Information not available,No
1995,Oldsmobile,Eighty-Eight,PK2,Information not available,No
1995,Oldsmobile,Ninety-Eight,PK2,Information not available,No
1996,Oldsmobile,Cutlass Supreme,PK2,U42C-800,No
1996,Oldsmobile,Aurora,PK2,U42C-484,No
1996,Oldsmobile,Eighty-Eight,PK2,Information not available,No
1996,Oldsmobile,Ninety-Eight,PK2,Information not available,No
1996,Oldsmobile,Achieva,PL1,U42C-800,No
1998,Oldsmobile,Bravada,PL2,U41,No
1998,Oldsmobile,Intrigue,PL2,U44C-482,No
1999,Oldsmobile,Silhouette,PK3,U44C-482,No
1999,Oldsmobile,Alero,PL2,U44C-482,No
1999,Oldsmobile,Bravada,PL2,U41,No
1999,Oldsmobile,Intrigue,PL2,U44C-482,No
2000,Oldsmobile,Silhouette,PK3,U44C-482,No
2000,Oldsmobile,Alero,PL2,U44C-482,No
2000,Oldsmobile,Bravada,PL2,U41,No
2000,Oldsmobile,Intrigue,PL2,U44C-482,No
2001,Oldsmobile,Silhouette,PK3,U44C-482,No
2001,Oldsmobile,Alero,PL2,U44C-482,No
2001,Oldsmobile,Bravada,PL2,U44R,No
2001,Oldsmobile,Intrigue,PL2,U44C-482,No
2002,Oldsmobile,Silhouette,PK3,U44C-482,No
2002,Oldsmobile,Alero,PL2,U44C-482,No
2002,Oldsmobile,Bravada,PL2,P10,No
2002,Oldsmobile,Intrigue,PL2,U44C-482,No
2003,Oldsmobile,Silhouette,PK3,U44C-482,No
2003,Oldsmobile,Alero,PL2,U44C-482,No
2003,Oldsmobile,Bravada,PL2,P10,No
2004,Oldsmobile,Silhouette,PK3,U44C-721,No
2004,Oldsmobile,Alero,PL2,U44C-721,No
2004,Oldsmobile,Bravada,PL2,P10,No
